node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64
Amazon Customer,0.1494186,0.13555424,-0.031327788,0.48419988,-0.24684544,-1.0819968,0.11389186,-0.1876538,-0.7241826,-0.35466212,1.0019567,-0.34919372,-0.334235,0.83815837,0.66410196,-0.37288073,0.02360294,-0.06954289,-0.4096099,-0.01888564,-0.3459705,1.1786113,-0.07691728,-0.26126295,-0.18406466,0.09243383,-0.13859305,0.4461537,-0.14980555,-0.6003949,-0.00954733,0.5650206,-0.74376476,-0.6845256,-0.6281987,-0.54348826,0.3811146,0.37378588,1.2117127,0.61903495,-0.44263634,0.71701735,0.13141142,0.19245672,0.53590614,-0.15499786,-0.1000948,0.1419316,0.6332194,0.8938378,-0.5219303,0.586293,0.7516887,-0.30594376,0.052541018,0.5953856,-0.23472604,-0.87930113,-0.049557794,0.73980474,-0.059145603,0.18586926,-0.43271938,1.0938108
Allen,-0.02041653,-0.22818725,-0.009102343,-0.050839342,-0.21351518,-0.049314957,0.30990365,0.03205557,-0.3260199,-0.2701776,0.20317967,0.134145,-0.2504309,-0.36419404,-0.0115514025,-0.09899809,-0.09998958,-0.19647938,-0.025082262,0.46274802,-0.33590496,0.1314988,0.2854068,-0.4845438,-0.13525341,0.49188396,-0.11879136,-0.15933757,0.22458088,-0.15293476,0.1852978,-0.015688377,-0.100565806,0.03472728,-0.101861596,-0.25530013,-0.04661183,0.07065291,0.013842737,0.036580555,-0.04545255,0.2186837,-0.067994885,-0.027249381,0.08424763,-0.26580298,0.07226569,-0.22313574,-0.047959566,-0.082437985,0.100499004,0.09061598,0.23418997,0.0752299,-0.084227405,0.01112246,0.21424964,-0.2877669,-0.044464216,-0.15719262,-0.23242572,-0.085146144,0.21483696,0.30800492
Anonymous,0.31091288,-0.18016592,0.12651406,-0.11036455,0.2308637,-0.0062019797,-0.1152669,-0.4215356,-0.21356227,-0.030329136,0.3308104,-0.1476056,-0.20964652,0.1668264,-0.26402897,0.41371,-0.11788557,0.17353942,-0.50063807,0.40019342,0.025458872,0.20352931,0.22871609,-0.37858564,-0.12525192,0.1901499,-0.011694569,0.14050052,0.3162625,-0.17420974,-0.047938626,0.069954194,-0.19155912,0.10391909,-0.10120713,0.13141729,-0.0020189467,-0.5522143,0.39394772,-0.16181716,0.21911426,-0.06612649,-0.011734518,-0.2482341,0.70297474,-0.1705806,-0.017472057,0.19818766,0.18805593,-0.0043317033,0.13662913,-0.20448528,0.34560266,0.106502876,0.25255504,-0.14636335,-0.01040572,-0.3739247,-0.058372732,-0.10331686,0.17381887,0.019791298,-0.33075434,-0.20841068
Craig,0.1826246,0.17301786,0.061141245,0.10006248,0.077547714,-0.14029099,0.23329258,0.05434891,-0.26463985,0.11713038,0.16764209,-0.19367892,0.09491231,-0.3223324,0.05377049,0.11326185,-0.29911366,-0.08380696,-0.10238204,0.28000125,0.118553996,0.25965756,-0.07474436,-0.26344612,0.01410114,0.46434513,-0.16750294,0.057521164,0.19331849,-0.14947493,0.042814873,-0.010354559,-0.021848174,-0.25803426,0.12943245,-0.08305963,-0.0044962284,-0.1512593,0.023673479,0.29332086,0.07967774,0.3475351,0.00052739884,-0.32342383,0.0990015,-0.18609925,0.07369593,-0.17194219,-0.23810664,-0.19109783,0.33718318,0.13961379,0.08190663,-0.083222315,0.11109349,0.01910727,0.029313872,0.119547985,-0.33659664,0.16698074,-0.0017897437,-0.033471428,0.18940188,0.12775213
Buyer,-0.077068344,-0.1407563,0.15200095,0.40800697,-0.14869128,-0.40176073,0.198531,0.15283188,-0.30806196,0.009944462,0.5046381,-0.011190066,-0.061976478,0.19690503,-0.032138187,0.34074154,-0.1534403,0.2558425,0.034676712,0.25848046,0.23812824,0.12007568,-0.052709974,-0.18373303,-0.32502234,-0.0765736,-0.38402602,-0.18675978,0.287142,-0.34459817,-0.12515718,-0.17285608,-0.29945627,-0.38693345,-0.12789251,-0.13547406,-0.39075404,-0.35744247,-0.036519248,0.03591266,0.051746167,-0.094298236,-0.28846112,-0.13417143,0.41438493,-0.35725558,-0.09380675,-0.21893881,0.15587796,0.3259677,-0.03695767,-0.104704864,0.055195305,0.29571465,0.0498266,0.2034511,0.05569431,0.10005009,0.008071902,-0.004096598,0.16093123,-0.04194246,0.19398233,0.11954817
Jimbo,0.28560102,0.07290119,0.29098675,-0.053596124,-0.24234529,0.0027864254,-0.06642683,-0.08394629,-0.3808291,-0.14870709,0.19760896,0.052505698,-0.29122734,-0.05226099,-0.22197348,0.18803178,-0.2564045,-0.0928066,-0.06983296,0.24433671,-0.46574688,0.18917215,0.30637723,-0.61733204,-0.1833189,0.3052702,-0.122402094,-0.45169544,0.05281835,-0.040601835,0.054575942,0.14452073,0.0059055323,-0.18847194,-0.3590796,0.03931439,-0.06851335,-0.00804053,0.3289251,-0.07938364,0.032250036,0.3069188,0.24633253,-0.20385313,0.26713082,-0.26526734,0.107720576,-0.29167256,-0.08863816,0.054217786,0.1908212,-0.2127081,-0.31164393,0.2040145,0.28346583,0.117170244,0.10489175,0.045726184,-0.2773391,0.10144228,-0.059963748,-0.09154198,0.038154148,-0.17095447
Mickey,-0.23641522,-0.07797272,0.25050187,0.28032795,-0.032794792,-0.1947184,0.59446126,0.1832638,-0.20085263,0.5261604,0.0495838,0.054538995,0.12197502,-0.22458278,-0.13038546,-0.11111305,-0.41723937,-0.16151008,0.13982552,0.058691252,-0.2052145,0.54476345,0.0448752,-0.640098,0.40474534,0.32405132,-0.30990738,0.16239813,0.13391787,-0.032409932,-0.12745884,0.37341145,-0.4285795,0.22274373,-0.18907093,-0.11435653,0.26326457,-0.18738833,-0.06189972,0.5607301,-0.17282471,-0.510322,-0.00043138795,-0.13620558,0.08623211,-0.14451465,-0.4430407,-0.34315047,-0.061806377,-0.06564923,0.23648001,0.13703401,0.116611004,0.3059173,0.030813621,0.16797687,-0.3371341,-0.44337335,-0.0010567444,0.49157584,-0.2723062,0.1473156,-0.33931506,0.22471169
Rick,0.060566433,-0.17770387,0.03635346,-0.082494095,0.062094554,-0.46471682,0.23651,-0.17895167,-0.4826409,-0.45714003,0.2644533,0.013694605,-0.31464282,0.08046344,0.1889016,0.25472,-0.20895857,-0.081673175,-0.64858204,0.01384236,0.25361246,0.051318485,0.25156152,-0.18296784,0.03173102,-0.0038166184,-0.46465737,-0.004092973,0.018420214,0.10148348,0.18881729,0.26955587,-0.4199043,-0.030047154,-0.56517965,0.07278732,-0.44435304,0.10222843,-0.10841924,0.3608056,-0.13661222,-0.06346088,0.43437895,-0.31652617,0.27021685,-0.21141693,0.12534694,-0.17296515,-0.15365371,-0.118495025,-0.35188538,-0.06794561,-0.06271422,0.3849638,0.6426324,-0.053690318,-0.16227917,0.069129296,-0.20883654,-0.28508162,-0.041707017,-0.09465927,-0.20495625,-0.24911395
Karen,-0.03192535,-0.12480262,0.03756894,0.29719907,-0.37390047,-0.035610724,-0.19090961,-0.10157337,0.15363954,0.06321407,0.024121406,-0.22711597,-0.19220777,-0.3939622,-0.041866176,0.44810387,0.26098016,-0.4305722,-0.15244527,0.53461075,0.11325226,0.24589619,0.4550895,-0.24481922,-0.29365996,0.31055593,-0.30774903,-0.0026880752,0.2562696,0.038466655,0.4449124,0.3719621,0.12539993,-0.09791907,-0.16604452,0.19202794,0.117839,0.3826384,-0.08268093,-0.102317356,-0.4344675,0.009564393,-0.38026172,0.3523561,0.4689637,-0.007766544,-0.057804834,-0.01682424,-0.41143253,0.880148,0.04166926,-0.07294864,-0.06400585,-0.13631397,0.028325351,-0.008116432,0.24630837,-0.37169275,-0.3520782,0.0353432,0.14377622,-0.23786119,0.2578876,0.221903
Nancy,-0.081266046,-0.28330845,-0.18725358,0.3711815,0.47800007,-0.39110643,0.0542136,-0.19786376,-0.52455497,-0.113782436,0.54165673,-0.1422388,0.2719745,0.22145784,-0.035924252,-0.26017234,-0.5319726,-0.04596264,-0.43133596,-0.05133762,0.09409682,0.6125967,-0.1501944,-0.35800898,-0.04181457,0.096489154,-0.033660848,0.20149301,-0.17181854,-0.129558,-0.2812395,-0.082636826,-0.41350257,-0.17316894,-0.50790554,-0.1271737,0.14815927,-0.081694186,0.012140628,0.24677168,-0.48491076,0.53837657,-0.041404475,-0.15476967,-0.11109804,0.040661022,0.06756436,-0.36548007,-0.0790176,0.048007,0.063946515,0.18193029,0.20685208,0.041182697,0.040408667,-0.47849008,0.20220388,0.19479099,-0.26451612,-0.0160791,0.29879397,0.14450541,0.17506582,0.15616119
